Date,Time,Server,Table,Seated,Size,Crust,Sauce,Topping 1,Topping 2,Topping 3,Allergies,Notes
2004-10-21,10:00,Anna,1,2,Medium,Chicago,Little,Bacon,Bacon,Sausage,FALSE,"
"
2004-10-21,10:00,Anna,2,2,X-Large,Cheese Filled,Normal,Pepper,Pineapple,Onion,FALSE,"
"
2004-10-21,10:00,Julia,3,3,Large,New York,Little,Sausage,Spinach,,FALSE,"
"
2004-10-21,10:00,Julia,4,2,Large,New York,Extra,Sausage,Onion,Pepper,FALSE,"
"
,11:00,Anna,1,2,Medium,Chicago,Little,Bacon,Bacon,Sausage,FALSE,"
"
,11:00,Anna,2,3,X-Large,Cheese Filled,Normal,Pepper,Pineapple,Onion,FALSE,"
"
,11:00,Julia,3,3,Large,New York,Little,Sausage,Spinach,,FALSE,"
"
,12:00,Anna,1,2,Large,New York,Extra,Sausage,Onion,Pepper,FALSE,"
"
,12:00,Anna,3,3,Medium,Chicago,Little,Bacon,Bacon,,FALSE,"
"
,12:00,Julia,4,4,X-Large,Cheese Filled,Normal,Pepper,Pineapple,Onion,FALSE,"
"
,12:00,Julia,5,3,Large,New York,Little,Sausage,Spinach,,FALSE,"
"
,12:00,Nick,6,3,Large,New York,Extra,Sausage,Onion,Pepper,FALSE,"
"
,12:00,Nick,8,3,Medium,Chicago,Little,Bacon,Bacon,Sausage,FALSE,"
"
,1:00,Anna,2,2,X-Large,Cheese Filled,Normal,Pepper,Pineapple,Onion,FALSE,"
"
,1:00,Julia,4,4,Large,New York,Little,Sausage,Spinach,,FALSE,"
"
,1:00,Anna,6,2,Large,New York,Extra,Sausage,Onion,,FALSE,"
"
,1:00,Julia,8,4,,,,,,,FALSE,"
"
